time,histogram_diff
3.0,0.3512
5.0,0.3352
11.0,0.4493
19.0,0.4148
29.0,0.405
31.0,0.4014
34.0,0.4141
69.0,0.3779
81.0,0.4504
120.0,0.3679
126.0,0.3811
162.0,0.3993
173.0,0.4521
174.0,0.4453
176.0,0.3765
222.0,0.359
227.0,0.4448
228.0,0.3691
229.0,0.4446
255.0,0.4337
256.0,0.3522
270.0,0.4059
272.0,0.4179
273.0,0.4126
275.0,0.3648
276.0,0.3545
277.0,0.4171
282.0,0.4533
285.0,0.3744
294.0,0.4765
