time,frame_status,frame_path,brightness,saturation,edge_density,upper_text_edge_density,mid_text_edge_density,lower_text_edge_density,center_vertical_edge_score,center_horizontal_edge_score,possible_split_screen,possible_dense_text
0.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0000s.jpg,36.95,38.57,0.0519,0.0337,0.0437,0.0806,0.123,0.5636,True,False
5.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0005s.jpg,51.93,18.36,0.0687,0.0336,0.0775,0.0802,0.1211,0.5805,True,False
10.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0010s.jpg,27.99,42.07,0.0688,0.0336,0.0801,0.0762,0.1309,0.7881,True,False
15.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0015s.jpg,31.68,40.19,0.0725,0.0336,0.0875,0.0762,0.2305,0.3347,False,False
20.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0020s.jpg,22.48,49.48,0.0619,0.0335,0.064,0.0802,0.1387,0.6695,True,False
25.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0025s.jpg,33.13,39.4,0.0692,0.0336,0.0808,0.0763,0.1973,0.8517,True,False
30.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0030s.jpg,33.38,39.42,0.0698,0.0334,0.0821,0.0764,0.2031,0.8517,True,False
35.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0035s.jpg,44.48,20.47,0.0621,0.0333,0.0645,0.0802,0.2168,0.7712,True,False
40.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0040s.jpg,28.1,24.64,0.059,0.0337,0.0603,0.0765,0.1406,0.4703,True,False
45.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0045s.jpg,27.31,26.17,0.0508,0.0337,0.0437,0.0766,0.0938,0.4237,True,False
50.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0050s.jpg,23.51,49.63,0.0603,0.0336,0.0607,0.0803,0.1133,0.6144,True,False
55.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0055s.jpg,35.67,37.58,0.0541,0.0337,0.0483,0.0803,0.1191,0.6229,True,False
60.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0060s.jpg,75.41,1.53,0.0477,0.0336,0.0356,0.0802,0.1152,0.8644,True,False
65.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0065s.jpg,57.27,17.64,0.0583,0.0449,0.0519,0.0802,0.1113,0.678,True,False
70.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0070s.jpg,57.35,18.03,0.0579,0.045,0.0511,0.0802,0.1055,0.7246,True,False
75.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0075s.jpg,32.97,34.01,0.0645,0.0337,0.0711,0.077,0.1133,0.7288,True,False
80.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0080s.jpg,36.62,37.76,0.0523,0.0337,0.0465,0.077,0.1328,0.678,True,False
85.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0085s.jpg,15.86,61.4,0.0433,0.0336,0.0267,0.0802,0.0938,0.0805,False,False
90.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0090s.jpg,35.67,39.25,0.0519,0.0337,0.0457,0.0772,0.1348,0.7331,True,False
95.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0095s.jpg,28.03,45.52,0.0619,0.0336,0.064,0.0802,0.1367,0.3814,True,False
100.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0100s.jpg,29.56,43.09,0.0665,0.0333,0.0733,0.0802,0.1367,0.3517,True,False
105.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0105s.jpg,35.69,39.54,0.0517,0.0334,0.0437,0.0803,0.1113,0.7034,True,False
110.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0110s.jpg,57.66,17.09,0.0546,0.0333,0.0496,0.0802,0.0977,0.6992,True,False
115.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0115s.jpg,55.75,19.19,0.0627,0.0333,0.0659,0.0802,0.1152,0.7246,True,False
120.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0120s.jpg,49.65,23.17,0.0748,0.0447,0.085,0.0802,0.2012,0.4195,True,False
125.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_01/frames_5s/t0125s.jpg,33.39,40.56,0.0688,0.0333,0.0795,0.0775,0.252,0.4322,True,False
