time,histogram_diff
6.0,0.37
31.0,0.3017
38.0,0.494
50.0,0.3512
53.0,0.4645
60.0,0.3661
62.0,0.3682
63.0,0.3452
74.0,0.2923
80.0,0.4415
84.0,0.4143
86.0,0.4647
94.0,0.3258
104.0,0.461
109.0,0.3475
194.0,0.3624
197.0,0.4578
200.0,0.4459
232.0,0.3796
237.0,0.4635
240.0,0.462
243.0,0.4089
271.0,0.3376
301.0,0.2926
320.0,0.4378
328.0,0.4583
329.0,0.3789
333.0,0.3608
334.0,0.4818
345.0,0.4664
