time,frame_status,frame_path,brightness,saturation,edge_density,upper_text_edge_density,mid_text_edge_density,lower_text_edge_density,center_vertical_edge_score,center_horizontal_edge_score,possible_split_screen,possible_dense_text
0.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0000s.jpg,60.66,46.8,0.0489,0.0305,0.0424,0.0748,0.1328,0.6483,True,False
5.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0005s.jpg,61.56,16.41,0.0452,0.031,0.0374,0.0702,0.084,1.0,True,False
10.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0010s.jpg,62.0,43.79,0.051,0.0309,0.049,0.0703,0.1094,0.6864,True,False
15.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0015s.jpg,60.26,46.6,0.0486,0.0309,0.0442,0.0704,0.1113,0.5508,True,False
20.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0020s.jpg,60.58,48.51,0.0491,0.0308,0.0428,0.0745,0.1367,0.6102,True,False
25.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0025s.jpg,41.17,66.01,0.0466,0.0308,0.0379,0.0744,0.1055,0.911,True,False
30.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0030s.jpg,42.52,63.81,0.0502,0.0312,0.0448,0.0745,0.1328,0.9025,True,False
35.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0035s.jpg,40.56,66.64,0.0443,0.0312,0.0331,0.0745,0.0977,0.9025,True,False
40.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0040s.jpg,42.06,64.36,0.0491,0.0312,0.0426,0.0746,0.1152,0.911,True,False
45.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0045s.jpg,43.56,62.14,0.0533,0.0312,0.051,0.0747,0.1172,0.9025,True,False
50.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0050s.jpg,44.26,61.29,0.056,0.0313,0.0563,0.0748,0.1172,0.911,True,False
55.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0055s.jpg,41.68,64.66,0.0504,0.0312,0.0452,0.0748,0.1133,0.911,True,False
60.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0060s.jpg,41.16,65.22,0.0527,0.0313,0.0496,0.0749,0.125,0.9153,True,False
65.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0065s.jpg,49.68,29.02,0.0423,0.0312,0.0289,0.0749,0.125,0.8602,True,False
70.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0070s.jpg,51.17,30.87,0.0483,0.0312,0.0407,0.075,0.1113,0.8729,True,False
75.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0075s.jpg,41.13,67.07,0.0411,0.0313,0.0264,0.075,0.1055,0.9025,True,False
80.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0080s.jpg,42.8,66.05,0.0453,0.0312,0.0347,0.0751,0.1113,0.8983,True,False
85.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0085s.jpg,49.21,56.6,0.0499,0.0312,0.0439,0.0751,0.0938,0.8898,True,False
90.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_03/frames_5s/t0090s.jpg,60.31,48.78,0.0492,0.0312,0.0425,0.0753,0.1172,0.6525,True,False
