time,histogram_diff
3.0,0.4483
5.0,0.4696
6.0,0.4332
14.0,0.4303
15.0,0.4405
16.0,0.3912
19.0,0.3894
22.0,0.4444
62.0,0.4591
72.0,0.4023
75.0,0.4469
90.0,0.4122
97.0,0.3862
99.0,0.4343
103.0,0.4507
109.0,0.4235
123.0,0.4485
125.0,0.4519
143.0,0.4021
294.0,0.452
296.0,0.3652
301.0,0.3749
313.0,0.384
319.0,0.373
333.0,0.3948
335.0,0.4137
338.0,0.3892
340.0,0.4422
351.0,0.3561
355.0,0.3604
