time,frame_status,frame_path,brightness,saturation,edge_density,upper_text_edge_density,mid_text_edge_density,lower_text_edge_density,center_vertical_edge_score,center_horizontal_edge_score,possible_split_screen,possible_dense_text
0.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0000s.jpg,58.64,59.51,0.0476,0.0337,0.0354,0.0803,0.125,0.2034,False,False
5.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0005s.jpg,47.56,69.6,0.0511,0.034,0.0446,0.0762,0.123,0.2585,False,False
10.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0010s.jpg,51.77,72.18,0.0576,0.034,0.0574,0.0763,0.1309,0.2542,False,False
15.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0015s.jpg,47.09,69.6,0.0537,0.0339,0.0496,0.0764,0.1133,0.2712,False,False
20.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0020s.jpg,45.64,68.92,0.0548,0.034,0.0516,0.0765,0.1309,0.2542,False,False
25.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0025s.jpg,45.07,69.63,0.0504,0.0339,0.0428,0.0766,0.1055,0.2288,False,False
30.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0030s.jpg,45.23,69.0,0.0489,0.0339,0.0399,0.0767,0.1113,0.4068,True,False
35.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0035s.jpg,45.96,68.96,0.0564,0.0339,0.0548,0.0769,0.1172,0.2627,False,False
40.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0040s.jpg,45.81,68.94,0.0553,0.0339,0.0525,0.0769,0.1191,0.2881,False,False
45.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0045s.jpg,46.09,68.92,0.0568,0.0339,0.0555,0.0771,0.1309,0.2839,False,False
50.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0050s.jpg,45.92,78.31,0.0509,0.0339,0.0435,0.0772,0.1289,0.2627,False,False
55.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_02/frames_5s/t0055s.jpg,46.94,76.04,0.0498,0.0339,0.0414,0.0773,0.125,0.3178,False,False
